CASENO	DATE	LABEL	DJIA_CLOSE	NORTH_KOREA; NORTH_KOREAN	PHONE_HACKING; PRIME_MINISTER	CLIMATE_CHANGE; FOSSIL_FUELS	HUMAN_RIGHTS; UNITED_NATIONS	SAUDI_ARABIA	SYRIAN_ARMY; ISLAMIC_STATE	CATHOLIC_CHURCH; SEXUAL_ABUSE	WEST_BANK; GAZA_WAR	LATIN_AMERICA; GAY_MARRIAGE	AL_QAEDA	WAR_CRIMES; AMNESTY_INTERNATIONAL	EDWARD_SNOWDEN; MASS_SURVEILLANCE	RUSSIAN_PRESIDENT	SOUTH_AFRICA	EURO_ZONE; INTELLIGENCE_AGENCIES	PRO_DEMOCRACY; SUU_KYI	NICOLAS_SARKOZY; ANGELA_MERKEL	GREAT_BARRIER_REEF; WORLD_HERITAGE	TONY_BLAIR	IVORY_COAST	PRESIDENT_MAHMOUD; GAZA_STRIP	GOLDMAN_SACHS	OPEN_FIRE	TEAR_GAS	EAST_JERUSALEM	EASTERN_UKRAINE; SPECIAL_FORCES	SRI_LANKA	PRESIDENT_BARACK_OBAMA	COLD_WAR; UKRAINE_CRISIS	FRENCH_GOVERNMENT; COUNTRY_IN_THE_WORLD	NUCLEAR_POWER	INTERNATIONAL_LAW; AIR_STRIKES	NOBEL_PEACE_PRIZE; NOBEL_PRIZE	MONTHS_AFTER; PRESIDENT_OBAMA	RED_CROSS; DRINKING_WATER	ANTI_TERROR; CHINESE_GOVERNMENT; GOVERNMENT_OFFICIALS	POLICE_ARREST	HUNDREDS_OF_THOUSANDS; ARMED_FORCES
16	08/29/2008	0	11543.95996	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2
17	09/02/2008	0	11516.91992	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	09/03/2008	1	11532.87988	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	09/04/2008	0	11188.23047	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
20	09/05/2008	1	11220.95996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
21	09/08/2008	1	11510.74023	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	09/09/2008	0	11230.73047	4	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
23	09/10/2008	1	11268.91992	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
24	09/11/2008	1	11433.70996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
25	09/12/2008	0	11421.99023	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
26	09/15/2008	0	10917.50977	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
27	09/16/2008	1	11059.01953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
28	09/17/2008	0	10609.66016	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
